journal_rank,journal,title,doi,openalex_id,publication_date,year,type,openalex_cited_by_count,authors,topics,is_oa,oa_status,landing_page_url,pdf_url,wos_times_cited,download_status,local_path,sha256,notes
1,Bulletin of the American Meteorological Society,MSWEP V2 Global 3-Hourly 0.1° Precipitation: Methodology and Quantitative Assessment,https://doi.org/10.1175/bams-d-17-0138.1,https://openalex.org/W2890873664,2018-09-11,2018,article,1405,Hylke E. Beck; Eric F. Wood; Ming Pan; Colby K. Fisher; Diego G. Miralles; Albert I. J. M. van Dijk; Tim R. McVicar; Robert F. Adler,Precipitation Measurement and Analysis; Climate variability and models; Meteorological Phenomena and Simulations,True,bronze,https://doi.org/10.1175/bams-d-17-0138.1,https://journals.ametsoc.org/downloadpdf/journals/bams/100/3/bams-d-17-0138.1.pdf,,downloaded_verified,data\papers\01\10.1175_bams-d-17-0138.1.pdf,364f7d8a7a557ee7424936e48faaaa2219c21e7eca7f647b0e2de9d32b027a4b,
1,Bulletin of the American Meteorological Society,"Recent Third Pole’s Rapid Warming Accompanies Cryospheric Melt and Water Cycle Intensification and Interactions between Monsoon and Environment: Multidisciplinary Approach with Observations, Modeling, and Analysis",https://doi.org/10.1175/bams-d-17-0057.1,https://openalex.org/W2893104692,2018-09-27,2018,article,1157,Tandong Yao; Yongkang Xue; Deliang Chen; Fahu Chen; Lonnie G. Thompson; Peng Cui; Toshio Koike; William K. M. Lau; Dennis P. Lettenmaier; Volker Mosbrugger; Renhe Zhang; Baiqing Xu; Jeff Dozier; Thomas W. Gillespie; Yu Gu; Shichang Kang; Shilong Piao; Shiori Sugimoto; Kenichi Ueno; Lei Wang; Weicai Wang; Fan Zhang; Yongwei Sheng; Weidong Guo; Ailikun; Xiaoxin Yang; Yaoming Ma; Samuel S. P. Shen; Zhongbo Su; Fei Chen; Shunlin Liang; Yimin Liu; Vijay P. Singh; Kun Yang; Daqing Yang; Xinquan Zhao; Yun Qian; Yu Zhang; Qian Li,Cryospheric studies and observations; Climate change and permafrost; Arctic and Antarctic ice dynamics,True,bronze,https://doi.org/10.1175/bams-d-17-0057.1,https://journals.ametsoc.org/downloadpdf/journals/bams/100/3/bams-d-17-0057.1.pdf,,downloaded_verified,data\papers\01\10.1175_bams-d-17-0057.1.pdf,8a3195c38aefce7a3ec05ed2c930a5c12384a7632483435d5f85c2cd87ed9324,
1,Bulletin of the American Meteorological Society,Tropical Cyclones and Climate Change Assessment: Part II: Projected Response to Anthropogenic Warming,https://doi.org/10.1175/bams-d-18-0194.1,https://openalex.org/W2966162113,2019-08-06,2019,article,1372,Thomas R. Knutson; Suzana J. Camargo; Johnny C. L. Chan; Kerry Emanuel; Chang-Hoi Ho; James P. Kossin; Mrutyunjay Mohapatra; Masaki Satoh; Masato Sugi; Kevin Walsh; Liguang Wu,Tropical and Extratropical Cyclones Research; Climate variability and models; Ocean Waves and Remote Sensing,True,bronze,https://doi.org/10.1175/bams-d-18-0194.1,https://journals.ametsoc.org/downloadpdf/journals/bams/101/3/bams-d-18-0194.1.pdf,,downloaded_verified,data\papers\01\10.1175_bams-d-18-0194.1.pdf,b82a5c5604ea44b8f3fe0860ddab22c0ee25895f3736cce720e4125655a42a9f,
1,Bulletin of the American Meteorological Society,"“The Stippling Shows Statistically Significant Grid Points”: How Research Results are Routinely Overstated and Overinterpreted, and What to Do about It",https://doi.org/10.1175/bams-d-15-00267.1,https://openalex.org/W2293053967,2016-03-09,2016,article,934,Daniel S. Wilks,Statistical Methods in Clinical Trials; Statistical Methods and Inference; Bayesian Modeling and Causal Inference,False,closed,https://doi.org/10.1175/bams-d-15-00267.1,,,skipped_final_no_direct_pdf,,,
1,Bulletin of the American Meteorological Society,The Global Land Surface Satellite (GLASS) Product Suite,https://doi.org/10.1175/bams-d-18-0341.1,https://openalex.org/W3088919884,2020-09-21,2020,article,655,Shunlin Liang; Jie Cheng; Kun Jia; Bo Jiang; Qiang Liu; Zhiqiang Xiao; Yunjun Yao; Wenping Yuan; Xiaotong Zhang; Xiang Zhao; Ji Zhou,Remote Sensing in Agriculture; Plant Water Relations and Carbon Dynamics; Urban Heat Island Mitigation,True,bronze,https://doi.org/10.1175/bams-d-18-0341.1,https://journals.ametsoc.org/downloadpdf/journals/bams/102/2/BAMS-D-18-0341.1.pdf,,downloaded_verified,data\papers\01\10.1175_bams-d-18-0341.1.pdf,9398917f0f30e8757a9f171212c716a810c6684d09cc2b7c322020b31c07cb78,
1,Bulletin of the American Meteorological Society,"Introducing the New Generation of Chinese Geostationary Weather Satellites, Fengyun-4",https://doi.org/10.1175/bams-d-16-0065.1,https://openalex.org/W2567628229,2016-12-13,2016,article,825,Jun Yang; Zhiqing Zhang; Caiying Wei; Feng Lu; Qiang Guo,Meteorological Phenomena and Simulations; Atmospheric aerosols and clouds; Ionosphere and magnetosphere dynamics,False,closed,https://doi.org/10.1175/bams-d-16-0065.1,,,skipped_final_no_direct_pdf,,,
1,Bulletin of the American Meteorological Society,The Subseasonal to Seasonal (S2S) Prediction Project Database,https://doi.org/10.1175/bams-d-16-0017.1,https://openalex.org/W2471266319,2016-06-22,2016,article,1139,Frédéric Vitart; Constantin Ardilouze; A. Bonet; Anca Brookshaw; Mingyue Chen; C. Codorean; Michel Déqué; Laura Ferranti; Enrico Fucile; Manuel Fuentes; Harry H. Hendon; J. Hodgson; Hongbo Kang; Arun Kumar; Hai Lin; G. Liu; Xiangwen Liu; P. Malguzzi; I. Mallas; M. Manoussakis; Daniele Mastrangelo; Craig MacLachlan; Peter McLean; Atsushi Minami; Richard Mládek; Tetsuo Nakazawa; Safana A. Najm; Yu Nie; M. Rixen; Andrew W. Robertson; Paolo Ruti; Cheng Sun; Yuhei Takaya; M. A. Tolstykh; Fabio Venuti; Duane E. Waliser; Steven J. Woolnough; Tongwen Wu; Duk-Jin Won; Hui Xiao; R. B. Zaripov; L. Zhang,Climate variability and models; Meteorological Phenomena and Simulations; Oceanographic and Atmospheric Processes,True,green,https://centaur.reading.ac.uk/view/creators/90000455.html>,https://centaur.reading.ac.uk/65935/1/BAMS_S2Sdatabase.final.pdf,,downloaded_verified,data\papers\01\10.1175_bams-d-16-0017.1.pdf,1be7374a17832ce76698a93ae7ae1b72c88987d6852cf20e71d6e219b92fde08,
1,Bulletin of the American Meteorological Society,Flash Droughts: A Review and Assessment of the Challenges Imposed by Rapid-Onset Droughts in the United States,https://doi.org/10.1175/bams-d-17-0149.1,https://openalex.org/W2769501458,2017-11-21,2017,article,688,Jason A. Otkin; Mark Svoboda; Eric Hunt; Trent W. Ford; Martha C. Anderson; Christopher Hain; Jeffrey B. Basara,Hydrology and Drought Analysis; Climate variability and models; Flood Risk Assessment and Management,False,closed,https://doi.org/10.1175/bams-d-17-0149.1,,,skipped_final_no_direct_pdf,,,
1,Bulletin of the American Meteorological Society,The Global Precipitation Measurement (GPM) Mission for Science and Society,https://doi.org/10.1175/bams-d-15-00306.1,https://openalex.org/W2560821854,2016-12-09,2016,article,852,Gail Skofronick‐Jackson; Walter A. Petersen; Wesley Berg; Chris Kidd; Erich Franz Stocker; Dalia Kirschbaum; Ramesh K. Kakar; Scott A. Braun; George J. Huffman; Toshio Iguchi; Pierre‐Emmanuel Kirstetter; Christian D. Kummerow; R. Meneghini; Riko Oki; William S. Olson; Yukari N. Takayabu; Kinji Furukawa; T. T. Wilheit,Precipitation Measurement and Analysis; Soil Moisture and Remote Sensing; Meteorological Phenomena and Simulations,True,bronze,https://doi.org/10.1175/bams-d-15-00306.1,https://journals.ametsoc.org/downloadpdf/journals/bams/98/8/bams-d-15-00306.1.pdf,,downloaded_verified,data\papers\01\10.1175_bams-d-15-00306.1.pdf,70785b33b576222d6778b2fe8a46eb4d9718b7dc2964dce818eb27489b994a92,
1,Bulletin of the American Meteorological Society,A Closer Look at the ABI on the GOES-R Series,https://doi.org/10.1175/bams-d-15-00230.1,https://openalex.org/W2494302106,2016-07-21,2016,article,813,Timothy J. Schmit; Paul C. Griffith; Mathew M. Gunshor; Jaime Daniels; Steven J. Goodman; William Lebair,Atmospheric and Environmental Gas Dynamics; Meteorological Phenomena and Simulations; Atmospheric aerosols and clouds,False,closed,https://doi.org/10.1175/bams-d-15-00230.1,,,skipped_final_no_direct_pdf,,,
