doi,title,year,journal,themes,methods,split
https://doi.org/10.1002/2015ef000334,Contributions of organic and inorganic matter to sediment volume and accretion in tidal wetlands at steady state,2016,Earth's Future,dynamics-weather-systems;ocean-atmosphere,unspecified,train
https://doi.org/10.1002/2015ef000338,Climate services: Lessons learned and future prospects,2016,Earth's Future,dynamics-weather-systems;climate-variability-change,numerical_modeling,train
https://doi.org/10.1002/2015ef000347,Dynamic simulation and numerical analysis of hurricane storm surge under sea level rise with geomorphologic changes along the northern Gulf of Mexico,2016,Earth's Future,dynamics-weather-systems;ocean-atmosphere,numerical_modeling,development
https://doi.org/10.1002/2015gl067492,Extreme wave activity during 2013/2014 winter and morphological impacts along the Atlantic coast of Europe,2016,Geophysical Research Letters,dynamics-weather-systems;remote-sensing-retrieval;extremes;ocean-atmosphere,remote_sensing,train
https://doi.org/10.1002/2015jd023257,Delaying precipitation and lightning by air pollution over the Pearl River Delta. Part I: Observational analyses,2016,Journal of Geophysical Research: Atmospheres,cloud-precipitation-microphysics;atmospheric-chemistry;aerosols;air-quality-exposure;observations-instruments,observation;numerical_modeling,train
https://doi.org/10.1002/2015jd023718,Impact of remotely sensed albedo and vegetation fraction on simulation of urban climate in WRF‐urban canopy model: A case study of the urban heat island in Los Angeles,2016,Journal of Geophysical Research: Atmospheres,atmospheric-radiation;air-quality-exposure;numerical-weather-prediction;land-atmosphere,numerical_modeling,train
https://doi.org/10.1002/2015jd023744,Constraining the aerosol influence on cloud fraction,2016,Journal of Geophysical Research: Atmospheres,cloud-precipitation-microphysics;atmospheric-chemistry;aerosols,unspecified,train
https://doi.org/10.1002/2015jd023929,Spatiotemporal drought variability in the Mediterranean over the last 900 years,2016,Journal of Geophysical Research: Atmospheres,climate-variability-change;extremes;hydrometeorology,numerical_modeling,blind_test
https://doi.org/10.1002/2015jd023977,Statistical downscaling and dynamical downscaling of regional climate in China: Present climate evaluations and future climate projections,2016,Journal of Geophysical Research: Atmospheres,dynamics-weather-systems;climate-variability-change;model-evaluation-downscaling;statistics-causal-ml,numerical_modeling;statistical_ml,train
https://doi.org/10.1002/2015jd024020,"Chemical composition, sources, and aging process of submicron aerosols in Beijing: Contrast between summer and winter",2016,Journal of Geophysical Research: Atmospheres,atmospheric-chemistry;aerosols;air-quality-exposure,unspecified,train
https://doi.org/10.1002/2015jd024027,Estimating error cross‐correlations in soil moisture data sets using extended collocation analysis,2016,Journal of Geophysical Research: Atmospheres,cloud-precipitation-microphysics;remote-sensing-retrieval;observations-instruments;hydrometeorology;land-atmosphere;quality-control-uncertainty,observation;remote_sensing,blind_test
https://doi.org/10.1002/2015jd024131,Comparison of soil moisture in GLDAS model simulations and in situ observations over the Tibetan Plateau,2016,Journal of Geophysical Research: Atmospheres,remote-sensing-retrieval;observations-instruments;hydrometeorology;land-atmosphere,observation;remote_sensing;numerical_modeling,train
https://doi.org/10.1002/2015jd024181,Water vapor‐weighted mean temperature and its impact on the determination of precipitable water vapor and its linear trend,2016,Journal of Geophysical Research: Atmospheres,dynamics-weather-systems,unspecified,development
https://doi.org/10.1002/2015jd024229,"Modeling the observed tropospheric BrO background: Importance of multiphase chemistry and implications for ozone, OH, and mercury",2016,Journal of Geophysical Research: Atmospheres,atmospheric-chemistry;aerosols,numerical_modeling,train
https://doi.org/10.1002/2015jd024290,"Global volcanic aerosol properties derived from emissions, 1990–2014, using CESM1(WACCM)",2016,Journal of Geophysical Research: Atmospheres,dynamics-weather-systems;atmospheric-chemistry;aerosols;earth-system-models,unspecified,train
https://doi.org/10.1002/2015jd024297,"Planning, implementation, and scientific goals of the Studies of Emissions and Atmospheric Composition, Clouds and Climate Coupling by Regional Surveys (SEAC4RS) field mission",2016,Journal of Geophysical Research: Atmospheres,cloud-precipitation-microphysics;atmospheric-chemistry;aerosols,unspecified,train
https://doi.org/10.1002/2015jd024473,High‐resolution atmospheric inversion of urban CO 2 emissions during the dormant season of the Indianapolis Flux Experiment (INFLUX),2016,Journal of Geophysical Research: Atmospheres,dynamics-weather-systems;atmospheric-chemistry;aerosols;land-atmosphere,numerical_modeling,train
https://doi.org/10.1002/2015jd024556,Observations of nitryl chloride and modeling its source and effect on ozone in the planetary boundary layer of southern China,2016,Journal of Geophysical Research: Atmospheres,forecasting-predictability;boundary-layer-turbulence;atmospheric-chemistry;aerosols;air-quality-exposure;observations-instruments,observation;numerical_modeling,train
https://doi.org/10.1002/2015jd024631,Quantifying atmospheric methane emissions from oil and natural gas production in the Bakken shale region of North Dakota,2016,Journal of Geophysical Research: Atmospheres,dynamics-weather-systems;atmospheric-chemistry;aerosols,unspecified,train
https://doi.org/10.1002/2015jd024666,Why cirrus cloud seeding cannot substantially cool the planet,2016,Journal of Geophysical Research: Atmospheres,cloud-precipitation-microphysics;atmospheric-radiation;aerosols;climate-variability-change,unspecified,train
https://doi.org/10.1002/2015jd024728,Review on climate change on the Tibetan Plateau during the last half century,2016,Journal of Geophysical Research: Atmospheres,observations-instruments;climate-variability-change,observation;numerical_modeling;review_synthesis,train
https://doi.org/10.1002/2016ef000362,Tipping elements and climate–economic shocks: Pathways toward integrated assessment,2016,Earth's Future,dynamics-weather-systems;air-quality-exposure;climate-variability-change,review_synthesis,train
https://doi.org/10.1002/2016ef000376,Prospects for narrowing bounds on Earth's equilibrium climate sensitivity,2016,Earth's Future,dynamics-weather-systems;climate-variability-change,numerical_modeling,train
https://doi.org/10.1002/2016ef000379,Stratigraphic and Earth System approaches to defining the Anthropocene,2016,Earth's Future,ocean-atmosphere,unspecified,train
https://doi.org/10.1002/2016ef000417,The global warming hiatus: Slowdown or redistribution?,2016,Earth's Future,dynamics-weather-systems;climate-variability-change,numerical_modeling,blind_test
https://doi.org/10.1002/2016ef000445,Mitigation deterrence and the “moral hazard” of solar radiation management,2016,Earth's Future,atmospheric-radiation;climate-variability-change,unspecified,train
https://doi.org/10.1002/2016ef000469,The limits to global‐warming mitigation by terrestrial carbon removal,2017,Earth's Future,climate-variability-change,unspecified,blind_test
https://doi.org/10.1002/2016ef000477,The use of food imports to overcome local limits to growth,2017,Earth's Future,unclassified,unspecified,train
https://doi.org/10.1002/2016ef000480,Model prediction of biome‐specific global soil respiration from 1960 to 2012,2017,Earth's Future,dynamics-weather-systems;forecasting-predictability;land-atmosphere,numerical_modeling,train
https://doi.org/10.1002/2016ef000485,Global projections of river flood risk in a warmer world,2016,Earth's Future,extremes;hydrometeorology,review_synthesis,blind_test
https://doi.org/10.1002/2016ef000494,Cumulative hazard: The case of nuisance flooding,2017,Earth's Future,dynamics-weather-systems;extremes;hydrometeorology,review_synthesis,train
https://doi.org/10.1002/2016ef000505,Extreme sea levels on the rise along Europe's coasts,2017,Earth's Future,dynamics-weather-systems;remote-sensing-retrieval;extremes,remote_sensing,train
https://doi.org/10.1002/2016ef000514,Toward mountains without permanent snow and ice,2017,Earth's Future,observations-instruments;climate-variability-change,observation,train
https://doi.org/10.1002/2016ef000518,"Water scarcity assessments in the past, present, and future",2017,Earth's Future,unclassified,review_synthesis,train
https://doi.org/10.1002/2016ef000525,Understanding the weather signal in national crop‐yield variability,2017,Earth's Future,climate-variability-change,numerical_modeling,development
https://doi.org/10.1002/2016ef000531,Wavelength‐Selective Solar Photovoltaic Systems: Powering Greenhouses for Plant Growth at the Food‐Energy‐Water Nexus,2017,Earth's Future,dynamics-weather-systems,unspecified,development
https://doi.org/10.1002/2016gl067745,Enhanced haze pollution by black carbon in megacities in China,2016,Geophysical Research Letters,cloud-precipitation-microphysics;atmospheric-chemistry;aerosols;air-quality-exposure,unspecified,development
https://doi.org/10.1002/2016gl068070,Dominant flood generating mechanisms across the United States,2016,Geophysical Research Letters,extremes;hydrometeorology,review_synthesis,train
https://doi.org/10.1002/2016gl068189,Demonstrating soil moisture remote sensing with observations from the UK TechDemoSat‐1 satellite mission,2016,Geophysical Research Letters,cloud-precipitation-microphysics;remote-sensing-retrieval;observations-instruments;hydrometeorology;land-atmosphere,observation;remote_sensing,blind_test
https://doi.org/10.1002/2016gl068507,Sea level driven marsh expansion in a coupled model of marsh erosion and migration,2016,Geophysical Research Letters,dynamics-weather-systems;ocean-atmosphere;earth-system-models,numerical_modeling,blind_test
https://doi.org/10.1002/2016gl068949,Premature mortality in India due to PM2.5 and ozone exposure,2016,Geophysical Research Letters,atmospheric-chemistry;air-quality-exposure;climate-variability-change,unspecified,train
https://doi.org/10.1002/2016gl069239,Ubiquity of organic nitrates from nighttime chemistry in the European submicron aerosol,2016,Geophysical Research Letters,atmospheric-chemistry;aerosols;air-quality-exposure,unspecified,train
https://doi.org/10.1002/2016gl069315,Sea ice decline and 21st century trans‐Arctic shipping routes,2016,Geophysical Research Letters,dynamics-weather-systems,unspecified,blind_test
https://doi.org/10.1002/2016gl069563,What would it take to achieve the Paris temperature targets?,2016,Geophysical Research Letters,dynamics-weather-systems;climate-variability-change,unspecified,train
https://doi.org/10.1002/2016gl069690,Snowmelt rate dictates streamflow,2016,Geophysical Research Letters,observations-instruments;extremes;hydrometeorology,observation;review_synthesis,development
https://doi.org/10.1002/2016gl069716,Impacts of the 2015–2016 El Niño on the California Current System: Early assessment and comparison to past events,2016,Geophysical Research Letters,climate-variability-change;ocean-atmosphere,numerical_modeling;review_synthesis,train
https://doi.org/10.1002/2016gl069790,Was Venus the first habitable world of our solar system?,2016,Geophysical Research Letters,unclassified,unspecified,train
https://doi.org/10.1002/2016gl070023,An unprecedented coastwide toxic algal bloom linked to anomalous ocean conditions,2016,Geophysical Research Letters,ocean-atmosphere,unspecified,train
https://doi.org/10.1002/2016gl070319,Mean Antarctic Circumpolar Current transport measured in Drake Passage,2016,Geophysical Research Letters,dynamics-weather-systems,unspecified,blind_test
https://doi.org/10.1002/2016gl070709,Automatic classification of endogenous landslide seismicity using the Random Forest supervised classifier,2016,Geophysical Research Letters,statistics-causal-ml,numerical_modeling,train
https://doi.org/10.1002/2016gl070815,A new paradigm for large earthquakes in stable continental plate interiors,2016,Geophysical Research Letters,atmospheric-chemistry,unspecified,train
https://doi.org/10.1002/2016gl071039,Satellite sea surface temperatures along the West Coast of the United States during the 2014–2016 northeast Pacific marine heat wave,2016,Geophysical Research Letters,dynamics-weather-systems;remote-sensing-retrieval;climate-variability-change;ocean-atmosphere,remote_sensing;numerical_modeling,train
https://doi.org/10.1002/2016gl071092,The onset of sediment transport in vegetated channels predicted by turbulent kinetic energy,2016,Geophysical Research Letters,hydrometeorology;land-atmosphere,unspecified,train
https://doi.org/10.1002/2016gl071235,Regional amplification of projected changes in extreme temperatures strongly controlled by soil moisture‐temperature feedbacks,2017,Geophysical Research Letters,dynamics-weather-systems;remote-sensing-retrieval;climate-variability-change;extremes;hydrometeorology;land-atmosphere,remote_sensing;numerical_modeling,train
https://doi.org/10.1002/2016gl071766,Transient reducing greenhouse warming on early Mars,2017,Geophysical Research Letters,climate-variability-change,unspecified,train
